sentence	part	category
החקלאי יצא לרסס את מטע הזיתים שלו , ומשלא שב לביתו כהרגלו , ולא ענה לקריאות הטלפון , יצאו אשתו ובנו לחפשו , ומצאוהו מוטל בלא רוח חיים במטע .	 מטע הזיתים 	12.0
החקלאי יצא לרסס את מטע הזיתים שלו , ומשלא שב לביתו כהרגלו , ולא ענה לקריאות הטלפון , יצאו אשתו ובנו לחפשו , ומצאוהו מוטל בלא רוח חיים במטע .	 קריאות הטלפון 	11.0
החקלאי יצא לרסס את מטע הזיתים שלו , ומשלא שב לביתו כהרגלו , ולא ענה לקריאות הטלפון , יצאו אשתו ובנו לחפשו , ומצאוהו מוטל בלא רוח חיים במטע .	 רוח חיים 	18.0
גופתו של חקלאי בן חמישים ושלוש , תושב כפר סבא , התגלתה אתמול בבוקר ליד טול כרם .	 בן חמישים ושלוש 	17.0
גופתו של חקלאי בן חמישים ושלוש , תושב כפר סבא , התגלתה אתמול בבוקר ליד טול כרם .	 תושב כפר סבא 	16.0
תחילה חשבו כי מדובר בתאונת עבודה, ואולם בדיקת הגופה העלתה כי הוא נורה למוות, ככל הנראה בידי מחבלים.	 תאונת עבודה 	2.0
שניים מהנוסעים האחרים נפצעו קל מרסיסי זכוכית.	 רסיסי זכוכית 	8.0
"במרדף אחר היורים נכנסו חיילי צה""ל לכפר רפאת , ושם נורו באש חיה . "	" חיילי צה""ל "	9.0
"במרדף אחר היורים נכנסו חיילי צה""ל לכפר רפאת , ושם נורו באש חיה . "	 כפר רפאת 	16.0
"צה""ל השיב אש במקלעים ובפגזי טנקים."	 פגזי טנקים 	9.0
קודם לכן התפוצץ פגז מרגמה סמוך לניסנית שבצפון חבל עזה.	 פגז מרגמה 	11.0
קודם לכן התפוצץ פגז מרגמה סמוך לניסנית שבצפון חבל עזה.	 חבל עזה 	16.0
מטען חבלה פוצץ מוקדם יותר באותו מקום.	 מטען חבלה 	1.0
ארגון המורים העל יסודי משבית היום את הלימודים בכל בתי הספר העל יסודיים עד לפתרון משבר השכר.	 ארגון המורים 	9.0
ארגון המורים העל יסודי משבית היום את הלימודים בכל בתי הספר העל יסודיים עד לפתרון משבר השכר.	 בתי הספר 	16.0
ארגון המורים העל יסודי משבית היום את הלימודים בכל בתי הספר העל יסודיים עד לפתרון משבר השכר.	 משבר השכר 	2.0
הארגון מנמק את קיום השביתה במחלוקת הקיימת בעניין מסקנות ועדת סלבין לבדיקת שחיקת שכר המורים.	 קיום השביתה 	16.0
הארגון מנמק את קיום השביתה במחלוקת הקיימת בעניין מסקנות ועדת סלבין לבדיקת שחיקת שכר המורים.	 מסקנות ועדת סלבין 	3.0
הארגון מנמק את קיום השביתה במחלוקת הקיימת בעניין מסקנות ועדת סלבין לבדיקת שחיקת שכר המורים.	 ועדת סלבין 	15.0
הארגון מנמק את קיום השביתה במחלוקת הקיימת בעניין מסקנות ועדת סלבין לבדיקת שחיקת שכר המורים.	 בדיקת שחיקת שכר המורים 	18.0
"בעקבות התקיפה האלימה שתקפו שלשום משתתפי עצרת התמיכה ביד אליהו את יו""ר ש""ס אלי ישי החליט מנהיג ש""ס הרב עובדיה יוסף להפסיק את הופעותיו בעצרות התמיכה באריה דרעי"	 משתתפי עצרת התמיכה 	10.0
"בעקבות התקיפה האלימה שתקפו שלשום משתתפי עצרת התמיכה ביד אליהו את יו""ר ש""ס אלי ישי החליט מנהיג ש""ס הרב עובדיה יוסף להפסיק את הופעותיו בעצרות התמיכה באריה דרעי"	 בעצרות התמיכה 	18.0
"בעקבות התקיפה האלימה שתקפו שלשום משתתפי עצרת התמיכה ביד אליהו את יו""ר ש""ס אלי ישי החליט מנהיג ש""ס הרב עובדיה יוסף להפסיק את הופעותיו בעצרות התמיכה באריה דרעי"	" מנהיג ש""ס "	19.0
"בעקבות התקיפה האלימה שתקפו שלשום משתתפי עצרת התמיכה ביד אליהו את יו""ר ש""ס אלי ישי החליט מנהיג ש""ס הרב עובדיה יוסף להפסיק את הופעותיו בעצרות התמיכה באריה דרעי"	" יו""ר ש""ס "	19.0
משתתפי העצרת שרקו לישי שריקות בוז , ואחר כך אף בעטו בו 	 שריקות בוז 	16.0
"בראיון לערוץ 7 מגנה ח""כ זאבי את חברי מפלגת העבודה על ציפיותיהם המופלגות למנעמי השלטון מהממשלה העתידה לקום . "	 חברי מפלגת העבודה 	9.0
"בראיון לערוץ 7 מגנה ח""כ זאבי את חברי מפלגת העבודה על ציפיותיהם המופלגות למנעמי השלטון מהממשלה העתידה לקום . "	 מפלגת העבודה 	14.0
עם זאת , זאבי בטוח בשותפות האיתנה של מפלגתו עם אריאל שרון 	 שותפות האיתנה 	12.0
כי אנו יודעים מה האלטרנטיבה : שמחתרת אוסלו תשלוט כאן , ותרוץ לערפאת מעזה כדי לתת לו את הר הבית , את ירושלים ואת הבקעה , ולרודן מדמשק כדי לתת לו את הגולן . 	 מחתרת אוסלו 	15.0
כי אנו יודעים מה האלטרנטיבה : שמחתרת אוסלו תשלוט כאן , ותרוץ לערפאת מעזה כדי לתת לו את הר הבית , את ירושלים ואת הבקעה , ולרודן מדמשק כדי לתת לו את הגולן . 	 הר הבית 	16.0
